corresponding_id,alias,real_name,start,end,extra,links
4584,secretary to the treasurey,John George Dodson,1873/08/11,1905/02/16,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5221,secretary to the treasurey,William Henry Smith,1874/02/21,1905/02/19,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4918,secretary to the treasurey,Frederick Arthur Stanley,1877/08/14,1905/02/20,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4856,secretary to the treasurey,Henry John Selwin-Ibbetson,1878/04/02,1880/04/21,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4969,secretary to the treasurey,Frederick Charles Cavendish,1880/04/28,1905/02/24,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5575,secretary to the treasurey,Leonard Henry Courtney,1882/05/06,1884/12/12,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4755,secretary to the treasurey,John Tomlinson Hibbert,1884/12/12,1885/06/09,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5533,secretary to the treasurey,Henry Thurstan Holland,1885/06/24,1905/02/27,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5168,secretary to the treasurey,Matthew White Ridley,1905/02/27,1905/02/28,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5270,secretary to the treasurey,William Lawies Jackson,1905/02/28,1886/01/28,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5814,secretary to the treasurey,Henry Hartley Fowler,1886/02/06,1886/07/20,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5720,secretary to the treasurey,William Lawies Jackson,1886/08/03,1905/03/05,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4980,secretary to the treasurey,John Eldon Gorst,1891/11/09,1892/08/11,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
4755,secretary to the treasurey,John Tomlinson Hibbert,1892/08/18,1895/06/22,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
5304,secretary to the treasurey,Robert William Hanbury,1895/06/29,1905/03/14,,https://en.wikipedia.org/wiki/Financial_Secretary_to_the_Treasury
,archbishop of canterbury,John Moore,1783/03/31,1805/01/18,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,archbishop of canterbury,Charles Manners-Sutton,1805/02/01,1828/07/21,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,archbishop of canterbury,William Howley,1828/08/06,1848/02/11,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
,archbishop of canterbury,John Bird Sumner,1848/02/17,1862/09/06,,https://en.wikipedia.org/wiki/List_of_archbishops_of_Canterbury
